Time,Feed Flow,Feed Composition,Vapor Flow Rate,Reflux Ratio,Overhead Flow Rate,Overhead MeOH Composition,Bottom Flow Rate,Bottom MeOH Composition
2850,0.025,0.5,0.033,1.75,0.01241711,0.847233013,0.012556854,0.15170382
2900,0.025,0.5,0.033,1.75,0.012549546,0.850469095,0.013028292,0.151735581
2950,0.025,0.5,0.033,1.75,0.012532785,0.852000011,0.012816812,0.150934808
3000,0.025,0.5,0.033,1.75,0.012572772,0.851286165,0.012675318,0.147930332
3050,0.025,0.5,0.033,1.75,0.012695275,0.851535955,0.012616076,0.149587668
3100,0.025,0.5,0.033,1.75,0.012544861,0.849039924,0.012724359,0.148692673
3150,0.025,0.5,0.033,1.75,0.012285811,0.852571117,0.012375771,0.149173792
3200,0.025,0.5,0.033,1.75,0.012491729,0.853492682,0.012305371,0.150929423
3250,0.025,0.5,0.033,1.75,0.012644222,0.852593132,0.012078051,0.14953631
3300,0.025,0.5,0.033,1.75,0.012365585,0.84846015,0.01219022,0.150634869
3350,0.025,0.5,0.033,1.75,0.012474101,0.848374818,0.012481627,0.149965761
3400,0.025,0.5,0.033,1.75,0.012309597,0.846342434,0.012072338,0.149556738
3450,0.025,0.5,0.033,1.75,0.0125187,0.849078828,0.012581199,0.152274394
3500,0.025,0.5,0.033,1.75,0.012423027,0.848854751,0.012516732,0.153019863
3550,0.025,0.5,0.033,1.75,0.012303083,0.851408604,0.012155394,0.15098229
3600,0.025,0.5,0.033,1.75,0.012539297,0.851306012,0.012393828,0.148486584
3650,0.025,0.5,0.033,1.75,0.012714454,0.850725355,0.01248619,0.149191367
3700,0.025,0.5,0.033,1.75,0.012548694,0.849021934,0.012494588,0.151975831
3750,0.025,0.5,0.033,1.75,0.012457266,0.849165128,0.012959706,0.15468519
3800,0.025,0.5,0.033,1.75,0.01282185,0.852043229,0.012773167,0.149651582
3850,0.025,0.5,0.033,1.75,0.012402141,0.84877609,0.012580153,0.149832376
3900,0.025,0.5,0.033,1.75,0.012600997,0.850302025,0.012536871,0.15101985
3950,0.025,0.5,0.033,1.75,0.012562257,0.850037352,0.012217575,0.151908191
4000,0.025,0.5,0.033,1.75,0.012561315,0.850571547,0.012291616,0.150857807
4050,0.025,0.5,0.033,1.75,0.012485554,0.856716492,0.012493308,0.150453186
4100,0.025,0.5,0.033,1.75,0.012325518,0.853538782,0.012662993,0.152472008
4150,0.025,0.5,0.033,1.75,0.012552252,0.84910804,0.012734117,0.149213336
4200,0.025,0.5,0.033,1.75,0.012502485,0.848962994,0.012707593,0.151619428
4250,0.025,0.5,0.033,1.75,0.01231984,0.852299326,0.012840055,0.147845285
4300,0.025,0.5,0.033,1.75,0.012790981,0.853962419,0.012626836,0.15116455
4350,0.025,0.5,0.033,1.75,0.012653645,0.851328792,0.012493751,0.15256182
4400,0.025,0.5,0.033,1.75,0.012483181,0.855466712,0.012826456,0.15013279
4450,0.025,0.5,0.033,1.75,0.012351196,0.849309344,0.012445986,0.154683947
4500,0.025,0.5,0.033,1.75,0.012409711,0.851701358,0.012859752,0.150996728
4550,0.025,0.5,0.033,1.75,0.01244476,0.848932961,0.012418918,0.151768041
4600,0.025,0.5,0.033,1.75,0.012477962,0.854122812,0.01276985,0.153170379
4650,0.025,0.5,0.033,1.75,0.012383409,0.851531242,0.01276222,0.149831983
4700,0.025,0.5,0.033,1.75,0.012379969,0.848762171,0.012413329,0.151980132
4750,0.025,0.5,0.033,1.75,0.012422391,0.853312523,0.012911137,0.14907053
4800,0.025,0.5,0.033,1.75,0.01237895,0.850203212,0.012505865,0.152646829
4850,0.025,0.5,0.033,1.75,0.012609127,0.850522901,0.012688638,0.150817
4900,0.025,0.5,0.033,1.75,0.012377734,0.848234796,0.012657196,0.151659559
4950,0.025,0.5,0.033,1.75,0.012549233,0.851324395,0.012457763,0.149461926
5000,0.025,0.5,0.033,1.75,0.012719827,0.854252539,0.012327554,0.152195208
5050,0.025,0.5,0.033,1.75,0.01237362,0.85058784,0.012319255,0.149987514
5100,0.025,0.5,0.033,1.75,0.012535403,0.852121141,0.012301942,0.150613452
5150,0.025,0.5,0.0495,1.75,0.012410499,0.847576081,0,0.148397369
5200,0.025,0.5,0.0495,1.75,0.020348802,0.850820706,0,0.128357104
5250,0.025,0.5,0.0495,1.75,0.018386804,0.851082382,0.009110241,0.111976043
5300,0.025,0.5,0.0495,1.75,0.019268352,0.851135613,0.006702702,0.102083129
5350,0.025,0.5,0.0495,1.75,0.019039743,0.848306767,0.006271186,0.091285872
5400,0.025,0.5,0.0495,1.75,0.018964643,0.851516203,0.006870019,0.079759671
5450,0.025,0.5,0.0495,1.75,0.019015537,0.852602929,0.006872098,0.07116682
5500,0.025,0.5,0.0495,1.75,0.018999389,0.846943282,0.006771268,0.062001134
5550,0.025,0.5,0.0495,1.75,0.018852027,0.844269153,0.006806262,0.054074937
5600,0.025,0.5,0.0495,1.75,0.019019903,0.843923731,0.006804386,0.048305959
5650,0.025,0.5,0.0495,1.75,0.019225037,0.842949042,0.006837596,0.04199584
5700,0.025,0.5,0.0495,1.75,0.019411465,0.84778539,0.006740346,0.036584797
5750,0.025,0.5,0.0495,1.75,0.019060845,0.841216095,0.006666147,0.032777527
5800,0.025,0.5,0.0495,1.75,0.018635955,0.83933084,0.006485285,0.027846373
5850,0.025,0.5,0.0495,1.75,0.019287958,0.83329548,0.006669784,0.024320805
5900,0.025,0.5,0.0495,1.75,0.019018103,0.834903916,0.006586542,0.020942592
5950,0.025,0.5,0.0495,1.75,0.019263531,0.834823189,0.007006841,0.018497561
6000,0.025,0.5,0.0495,1.75,0.019187139,0.828833013,0.00662721,0.01612082
6050,0.025,0.5,0.0495,1.75,0.018990078,0.825775696,0.006912298,0.014194162
6100,0.025,0.5,0.0495,1.75,0.018860327,0.816993901,0.006833187,0.012244272
6150,0.025,0.5,0.0495,1.75,0.01922147,0.815578162,0.006743696,0.010761839
6200,0.025,0.5,0.0495,1.75,0.018833763,0.806391752,0.006969965,0.009452585
6250,0.025,0.5,0.0495,1.75,0.018848105,0.809300774,0.006409913,0.008462347
6300,0.025,0.5,0.0495,1.75,0.019107158,0.800662671,0.006463995,0.007520918
6350,0.025,0.5,0.0495,1.75,0.018986677,0.792214045,0.006951714,0.006612391
6400,0.025,0.5,0.0495,1.75,0.0186359,0.78373597,0.006714374,0.005992892
6450,0.025,0.5,0.0495,1.75,0.018855669,0.777413765,0.006557205,0.005416877
6500,0.025,0.5,0.0495,1.75,0.01884549,0.771967182,0.006424793,0.004898716
6550,0.025,0.5,0.0495,1.75,0.018829418,0.764068037,0.006541358,0.004540138
6600,0.025,0.5,0.0495,1.75,0.01889789,0.755393993,0.006455086,0.004077838
6650,0.025,0.5,0.0495,1.75,0.018585943,0.750876765,0.006499815,0.003788282
6700,0.025,0.5,0.0495,1.75,0.018734812,0.742170913,0.006570159,0.003503143
6750,0.025,0.5,0.0495,1.75,0.018559019,0.737365934,0.006639654,0.003279958
6800,0.025,0.5,0.0495,1.75,0.018908608,0.727866582,0.006501767,0.003143033
6850,0.025,0.5,0.0495,1.75,0.018969568,0.724279518,0.006297623,0.002992797
6900,0.025,0.5,0.0495,1.75,0.01872532,0.717969586,0.006478121,0.002857512
6950,0.025,0.5,0.0495,1.75,0.018810821,0.714000204,0.006520436,0.002708464
7000,0.025,0.5,0.0495,1.75,0.01885536,0.710481808,0.006314018,0.002651606
7050,0.025,0.5,0.0495,1.75,0.018811928,0.705971514,0.006335096,0.002551851
7100,0.025,0.5,0.0495,1.75,0.018822268,0.706017051,0.006345119,0.002428523
7150,0.025,0.5,0.0495,1.75,0.018682685,0.701980385,0.006331366,0.002422696
7200,0.025,0.5,0.0495,1.75,0.018781204,0.695285231,0.00615729,0.002343653
7250,0.025,0.5,0.0495,1.75,0.018492546,0.696325625,0.006205299,0.002306802
7300,0.025,0.5,0.0495,1.75,0.018783836,0.692223273,0.006287191,0.002302731
7350,0.025,0.5,0.0495,1.75,0.018901385,0.685579302,0.006220005,0.002213073
7400,0.025,0.5,0.0495,1.75,0.018662118,0.685914422,0.006349563,0.00222103
7450,0.025,0.5,0.0495,1.75,0.018689948,0.686953556,0.006306226,0.002208555
7500,0.025,0.5,0.0495,1.75,0.019010893,0.680944935,0.006321139,0.002145705
7550,0.025,0.5,0.0495,1.75,0.01864938,0.679731384,0.006277786,0.002125997
7600,0.025,0.5,0.0495,1.75,0.018710268,0.677831305,0.00648004,0.00210818
7650,0.025,0.5,0.0495,1.75,0.018804313,0.678384038,0.006192969,0.002182785
7700,0.025,0.5,0.0495,1.75,0.018530636,0.678197635,0.006414811,0.002113796
7750,0.025,0.5,0.0495,1.75,0.018721677,0.676758221,0.006272978,0.002109064
7800,0.025,0.5,0.0495,1.75,0.018865133,0.675715359,0.006224119,0.00208703
7850,0.025,0.5,0.0495,1.75,0.018742933,0.674367333,0.00638211,0.002159127
7900,0.025,0.5,0.0495,1.75,0.01870557,0.672268948,0.00612313,0.002071565
7950,0.025,0.5,0.0495,1.75,0.018399934,0.67429323,0.006521729,0.002099214
8000,0.025,0.5,0.0495,1.75,0.018481032,0.670274772,0.006274595,0.002133432
8050,0.025,0.5,0.0495,1.75,0.018326308,0.673231119,0.006340415,0.002067436
8100,0.025,0.5,0.0495,1.75,0.018500744,0.670653139,0.006381433,0.002067769
8150,0.025,0.5,0.0495,1.75,0.018721014,0.670699153,0.006428258,0.002095795
8200,0.025,0.5,0.0495,1.75,0.018655059,0.672264872,0.006138211,0.002074067
8250,0.025,0.5,0.0495,1.75,0.018503641,0.675079446,0.006442698,0.002110917
8300,0.025,0.5,0.0495,1.75,0.019069031,0.672226471,0.006338459,0.00209197
8350,0.025,0.5,0.0495,1.75,0.018566647,0.671512091,0.006292589,0.002068396
8400,0.025,0.5,0.0495,1.75,0.018676461,0.670545355,0.006208541,0.00209005
8450,0.025,0.5,0.0495,1.75,0.018664967,0.66991779,0.006250985,0.002086169
8500,0.025,0.5,0.0495,1.75,0.018693676,0.668754996,0.006419334,0.002080662
8550,0.025,0.5,0.0495,1.75,0.018809571,0.665870478,0.006412547,0.002066347
8600,0.025,0.5,0.0495,1.75,0.018284643,0.669685276,0.006315593,0.002101592
8650,0.025,0.5,0.0495,1.75,0.018406826,0.666319987,0.006146552,0.00212816
8700,0.025,0.5,0.0495,1.75,0.018381101,0.671828751,0.006419537,0.002069711
8750,0.025,0.5,0.0495,1.75,0.018728032,0.667681517,0.006325721,0.002093295
8800,0.025,0.5,0.0495,1.75,0.018660915,0.670287634,0.006363948,0.002095504
8850,0.025,0.5,0.0495,1.75,0.018660168,0.67305276,0.006365096,0.002074116
8900,0.025,0.5,0.0495,1.75,0.018673809,0.668649792,0.006098733,0.002105852
8950,0.025,0.5,0.0495,1.75,0.018850706,0.667280888,0.006420889,0.002054003
9000,0.025,0.5,0.0495,1.75,0.018600106,0.669092379,0.006341837,0.002078521
9050,0.025,0.5,0.0495,1.75,0.018389935,0.668587026,0.006287922,0.002098652
9100,0.025,0.5,0.0495,1.75,0.018486814,0.669545731,0.006164342,0.002044944
9150,0.025,0.5,0.0495,1.75,0.018470986,0.67139244,0.006105515,0.002047466
9200,0.025,0.5,0.0495,1.75,0.018438336,0.668642239,0.00621174,0.002094115
9250,0.025,0.5,0.0495,1.75,0.01867536,0.66991687,0.006284544,0.002058416
9300,0.025,0.5,0.0495,1.75,0.018401105,0.671073129,0.00631457,0.002067034
9350,0.025,0.5,0.0495,1.75,0.018616837,0.667754408,0.006313685,0.002066581
9400,0.025,0.5,0.0495,1.75,0.018888843,0.668008547,0.006251699,0.002086684
9450,0.025,0.5,0.0495,1.75,0.018453724,0.670555329,0.006450403,0.002059774
9500,0.025,0.5,0.0495,1.75,0.018598298,0.671504245,0.006162436,0.002055763
9550,0.025,0.5,0.0495,1.75,0.018495916,0.669318543,0.00633031,0.002055054
9600,0.025,0.5,0.0495,1.75,0.018471097,0.670363046,0.006235266,0.002077792
9650,0.025,0.5,0.0495,1.75,0.018899099,0.669210683,0.006138211,0.002028649
9700,0.025,0.5,0.0495,1.75,0.01855038,0.665756298,0.006436576,0.002063867
9750,0.025,0.5,0.0495,1.75,0.018455964,0.669674061,0.006054951,0.00206212
9800,0.025,0.5,0.0495,1.75,0.018467654,0.67055176,0.006266926,0.002087566
9850,0.025,0.5,0.0495,1.75,0.018533194,0.66788338,0.006608626,0.002062092
9900,0.025,0.5,0.0495,1.75,0.018693205,0.667819456,0.006498261,0.002105668
9950,0.025,0.5,0.0495,1.75,0.018516409,0.669306583,0.006366733,0.002113439
10000,0.025,0.5,0.0495,1.75,0.018847502,0.669422211,0.006319988,0.002070939
10050,0.025,0.5,0.0495,1.75,0.018617661,0.671386207,0.00615149,0.002057447
,0.025,0.5,0.066,1.75,0.028376988,0.849329668,0,0.100016911
,0.025,0.5,0.066,1.75,0.024470253,0.849047912,0.006155979,0.075681036
,0.025,0.5,0.066,1.75,0.026071084,0.848878461,0.000693931,0.061750743
,0.025,0.5,0.066,1.75,0.025625459,0.84567533,0.001292753,0.048675338
,0.025,0.5,0.066,1.75,0.025547954,0.848049087,0.001666702,0.037248162
,0.025,0.5,0.066,1.75,0.025613185,0.847385324,0.001542111,0.028894026
,0.025,0.5,0.066,1.75,0.025555653,0.838602803,0.0015956,0.021764179
,0.025,0.5,0.066,1.75,0.02532512,0.830810494,0.001564118,0.016341991
,0.025,0.5,0.066,1.75,0.025496288,0.822732153,0.001502305,0.012535382
,0.025,0.5,0.066,1.75,0.025699585,0.81087553,0.001428443,0.009345564
,0.025,0.5,0.066,1.75,0.025865862,0.800980088,0.001284965,0.006981507
,0.025,0.5,0.066,1.75,0.025309461,0.776824359,0.001124261,0.005369944
,0.025,0.5,0.066,1.75,0.024657851,0.754273622,0.000940537,0.003925785
,0.025,0.5,0.066,1.75,0.025436497,0.726368513,0.000815401,0.00296313
,0.025,0.5,0.066,1.75,0.025007814,0.704739637,0.000677121,0.002217552
,0.025,0.5,0.066,1.75,0.025268143,0.682346059,0.000614625,0.00171562
,0.025,0.5,0.066,1.75,0.025118077,0.656893306,0.000509117,0.001322901
,0.025,0.5,0.066,1.75,0.024822017,0.636160821,0.000479958,0.001043877
,0.025,0.5,0.066,1.75,0.024624558,0.613708841,0.000441893,0.000819533
,0.025,0.5,0.066,1.75,0.02507673,0.599476977,0.000416598,0.000667463
,0.025,0.5,0.066,1.75,0.024559659,0.582095962,0.000419426,0.000554179
,0.025,0.5,0.066,1.75,0.024573613,0.575771599,0.000380743,0.000478784
,0.025,0.5,0.066,1.75,0.024911943,0.563305656,0.000382588,0.000419209
,0.025,0.5,0.066,1.75,0.024759749,0.552879875,0.000412481,0.000370094
,0.025,0.5,0.066,1.75,0.024310428,0.544059987,0.000400678,0.00034236
,0.025,0.5,0.066,1.75,0.024607772,0.538090062,0.000394413,0.000320101
,0.025,0.5,0.066,1.75,0.024606955,0.533834382,0.000389438,0.000302429
,0.025,0.5,0.066,1.75,0.024599515,0.528773845,0.000399807,0.000294772
,0.025,0.5,0.066,1.75,0.024703169,0.523871809,0.000397765,0.000279492
,0.025,0.5,0.066,1.75,0.024309587,0.522381168,0.000403384,0.000274471
,0.025,0.5,0.066,1.75,0.024518506,0.518356063,0.000410356,0.000268154
,0.025,0.5,0.066,1.75,0.024302127,0.517310817,0.000417161,0.000264739
,0.025,0.5,0.066,1.75,0.024773302,0.513119787,0.000410594,0.000266715
,0.025,0.5,0.066,1.75,0.024865954,0.513163782,0.000399415,0.000266042
,0.025,0.5,0.066,1.75,0.024557659,0.511286106,0.000412346,0.000265045
,0.025,0.5,0.066,1.75,0.024680913,0.511028773,0.000416358,0.00026107
,0.025,0.5,0.066,1.75,0.024749689,0.511017772,0.000404242,0.000264554
,0.025,0.5,0.066,1.75,0.024702184,0.510182936,0.000406489,0.000262518
,0.025,0.5,0.066,1.75,0.024724476,0.512519359,0.000407889,0.000256669
,0.025,0.5,0.066,1.75,0.024549014,0.511757738,0.000407633,0.000262184
,0.025,0.5,0.066,1.75,0.024685677,0.508894352,0.000396931,0.000258914
,0.025,0.5,0.066,1.75,0.024312696,0.511539847,0.000400449,0.000259441
,0.025,0.5,0.066,1.75,0.024701558,0.510261544,0.000406086,0.000263015
,0.025,0.5,0.066,1.75,0.024861476,0.506947365,0.000402034,0.000256156
,0.025,0.5,0.066,1.75,0.024551491,0.508647487,0.000410648,0.000260024
,0.025,0.5,0.066,1.75,0.024592348,0.510746036,0.000408041,0.000261097
,0.025,0.5,0.066,1.75,0.025018506,0.507475321,0.000409164,0.000255786
,0.025,0.5,0.066,1.75,0.024546128,0.50765293,0.000406486,0.000255238
,0.025,0.5,0.066,1.75,0.024629282,0.507208126,0.00041969,0.000254626
,0.025,0.5,0.066,1.75,0.024755773,0.508499539,0.00040118,0.000264985
,0.025,0.5,0.066,1.75,0.024397835,0.509147711,0.00041562,0.000257721
,0.025,0.5,0.066,1.75,0.024651474,0.508771218,0.000406485,0.000258085
,0.025,0.5,0.066,1.75,0.02484225,0.508615475,0.000403362,0.000256178
,0.025,0.5,0.066,1.75,0.024682986,0.50815996,0.000413636,0.000265717
,0.025,0.5,0.066,1.75,0.02463524,0.507074966,0.000396878,0.0002555
,0.025,0.5,0.066,1.75,0.024233982,0.509044066,0.000422736,0.000259388
,0.025,0.5,0.066,1.75,0.024341913,0.506400394,0.000406734,0.000264025
,0.025,0.5,0.066,1.75,0.0241391,0.508980928,0.000411014,0.00025619
,0.025,0.5,0.066,1.75,0.024369732,0.507337661,0.000413684,0.000256511
,0.025,0.5,0.066,1.75,0.02466065,0.507642618,0.000416727,0.000260225
,0.025,0.5,0.066,1.75,0.024574445,0.509066632,0.00039793,0.000257725
,0.025,0.5,0.066,1.75,0.024375569,0.51140944,0.000417674,0.000262471
,0.025,0.5,0.066,1.75,0.025120912,0.5094336,0.000410919,0.000260254
,0.025,0.5,0.066,1.75,0.024459541,0.509055179,0.000407948,0.000257436
,0.025,0.5,0.066,1.75,0.024604609,0.508465336,0.000402501,0.000260228
,0.025,0.5,0.066,1.75,0.024589817,0.508114929,0.000405253,0.000259825
,0.025,0.5,0.066,1.75,0.024627945,0.507342877,0.000416168,0.000259206
,0.025,0.5,0.066,1.75,0.0247809,0.505250508,0.000415728,0.000257478
,0.025,0.5,0.066,1.75,0.024089556,0.508229641,0.000409443,0.000261916
,0.025,0.5,0.066,1.75,0.024250731,0.505749334,0.000398484,0.000265266
,0.025,0.5,0.066,1.75,0.024217014,0.509995552,0.000416181,0.000258012
,0.025,0.5,0.066,1.75,0.02467425,0.506903778,0.000410099,0.000260978
,0.025,0.5,0.066,1.75,0.024585958,0.508931871,0.000412577,0.000261275
,0.025,0.5,0.066,1.75,0.024585091,0.511074797,0.00041265,0.000258626
,0.025,0.5,0.066,1.75,0.024603166,0.507769126,0.000395382,0.000262598
,0.025,0.5,0.066,1.75,0.024836323,0.50676239,0.000416267,0.000256144
,0.025,0.5,0.066,1.75,0.024506229,0.508166799,0.000411141,0.000259212
,0.025,0.5,0.066,1.75,0.024229388,0.507807975,0.000407646,0.00026173
,0.025,0.5,0.066,1.75,0.024357089,0.508557934,0.000399633,0.000255039
,0.025,0.5,0.066,1.75,0.024336285,0.509979653,0.000395819,0.000255358
,0.025,0.5,0.066,1.75,0.024293312,0.507907148,0.000402706,0.000261181
,0.025,0.5,0.066,1.75,0.024605641,0.508889762,0.000407425,0.000256732
,0.025,0.5,0.066,1.75,0.02424433,0.509780633,0.000409371,0.000257809
,0.025,0.5,0.066,1.75,0.024528597,0.507270418,0.000409314,0.000257755
,0.025,0.5,0.066,1.75,0.024887004,0.507472914,0.000405295,0.000260264
,0.025,0.5,0.066,1.75,0.024313733,0.509415884,0.000418177,0.000256909
,0.025,0.5,0.066,1.75,0.024504237,0.510143927,0.000399508,0.00025641
,0.025,0.5,0.066,1.75,0.024369359,0.508489639,0.000410391,0.000256322
,0.025,0.5,0.066,1.75,0.024336674,0.509288549,0.000404229,0.000259159
,0.025,0.5,0.066,1.75,0.024900602,0.508417742,0.000397937,0.00025303
,0.025,0.5,0.066,1.75,0.024441156,0.50579738,0.000417279,0.000257423
,0.025,0.5,0.066,1.75,0.024316767,0.50877735,0.000392539,0.000257205
,0.025,0.5,0.066,1.75,0.024332177,0.509447223,0.000406281,0.000260379
,0.025,0.5,0.066,1.75,0.024418537,0.507422573,0.000428433,0.000257202
,0.025,0.5,0.066,1.75,0.024629366,0.50737629,0.000421278,0.000262637
,0.025,0.5,0.066,1.75,0.024396434,0.508508118,0.000412751,0.000263607
,0.025,0.5,0.066,1.75,0.024832671,0.508597684,0.000409721,0.000258306
,0.025,0.5,0.066,1.75,0.024529847,0.510091333,0.000398797,0.000256623
,0.025,0.5,0.099,1.75,0.012410499,0.847576081,0,0.148397369
,0.025,0.5,0.099,1.75,0.044515228,0.845532828,0,0.061305021
,0.025,0.5,0.099,1.75,0.036865239,0.844763727,0,0.035829721
,0.025,0.5,0.099,1.75,0.039735318,0.842886737,0,0.02190654
,0.025,0.5,0.099,1.75,0.038624707,0.832372797,0,0.012698504
,0.025,0.5,0.099,1.75,0.038396664,0.814888834,0,0.007220481
,0.025,0.5,0.099,1.75,0.038036146,0.774554563,0,0.004147314
,0.025,0.5,0.099,1.75,0.037583826,0.708450807,0,0.002315546
,0.025,0.5,0.099,1.75,0.036980396,0.637595349,0,0.001286608
,0.025,0.5,0.099,1.75,0.037067568,0.573352738,0,0.000733316
,0.025,0.5,0.099,1.75,0.037287688,0.518995716,0,0.000410476
,0.025,0.5,0.099,1.75,0.037518496,0.479037735,0,0.00023452
,0.025,0.5,0.099,1.75,0.036749663,0.442499681,0,0.000141916
,0.025,0.5,0.099,1.75,0.035869426,0.416821668,0,8.55E-05
,0.025,0.5,0.099,1.75,0.037083458,0.395727947,0,5.70E-05
,0.025,0.5,0.099,1.75,0.036540862,0.383340523,0,4.10E-05
,0.025,0.5,0.099,1.75,0.037000849,0.373971026,0,3.30E-05
,0.025,0.5,0.099,1.75,0.03685329,0.364891196,0,2.82E-05
,0.025,0.5,0.099,1.75,0.036482605,0.35939883,0,2.59E-05
,0.025,0.5,0.099,1.75,0.036247474,0.353209989,0,2.42E-05
,0.025,0.5,0.099,1.75,0.036961399,0.35154273,0,2.35E-05
,0.025,0.5,0.099,1.75,0.036239587,0.347553822,0,2.31E-05
,0.025,0.5,0.099,1.75,0.036294242,0.349579178,0,2.31E-05
,0.025,0.5,0.099,1.75,0.036822888,0.34724133,0,2.31E-05
,0.025,0.5,0.099,1.75,0.036622045,0.345452629,0,2.27E-05
,0.025,0.5,0.099,1.75,0.035977156,0.343991538,0,2.29E-05
,0.025,0.5,0.099,1.75,0.036433769,0.343722983,0,2.30E-05
,0.025,0.5,0.099,1.75,0.036446215,0.344016738,0,2.29E-05
